deposit,stake,currency_condition,fixed_income,net_revenue,revenue_share,revenue_share_cpa,currency_fixed_income,cpa_at,cpa_simulated_at,cpa_affiliate_at,registered_at,first_deposit_at,id,link_id,partner_link_accumulated_id,punter_id,cpa_betenlace,cpa_partner,deposit_count,stake_count,could_be_fraud,updated_at,created_at
15.00000000,0.00000000,EUR,0.00000000,5.36000000,0.00000000,0.00000000,EUR,,,,2023-10-12,,90722,6232,2199,1226820,0,0,0,0,false,2024-10-25 17:47:15.965000 +00:00,2023-12-05 00:00:00.000000 +00:00
1355.00000000,0.00000000,EUR,0.00000000,1266.99000000,0.00000000,0.00000000,EUR,,,,2023-10-12,,90688,6232,2199,1226969,0,0,0,0,false,2024-10-25 17:47:14.701000 +00:00,2023-12-01 00:00:00.000000 +00:00
0.00000000,0.00000000,EUR,0.00000000,-1.99000000,0.00000000,0.00000000,EUR,,,,2023-10-12,,90799,6232,2199,1227053,0,0,0,0,false,2024-10-25 17:50:54.381000 +00:00,2024-06-20 00:00:00.000000 +00:00
10.00000000,0.00000000,EUR,0.00000000,6.81000000,0.00000000,0.00000000,EUR,,,,2023-10-13,,90798,6233,2221,1227337,0,0,0,0,false,2024-10-25 17:50:20.414000 +00:00,2024-05-21 00:00:00.000000 +00:00
0.00000000,0.00000000,EUR,0.00000000,2.97000000,0.00000000,0.00000000,EUR,,,,2023-10-15,,90759,6232,2199,1227871,0,0,0,0,false,2024-10-25 17:48:36.631000 +00:00,2024-01-07 00:00:00.000000 +00:00
30.00000000,0.00000000,EUR,0.00000000,23.37000000,0.00000000,0.00000000,EUR,,,,2023-10-18,,90689,6232,2199,1229387,0,0,0,0,false,2024-10-25 17:47:14.701000 +00:00,2023-12-01 00:00:00.000000 +00:00
449.00000000,0.00000000,EUR,0.00000000,330.23000000,0.00000000,0.00000000,EUR,,,,2023-10-19,,90719,6233,2221,1229638,0,0,0,0,false,2024-10-25 17:47:15.682000 +00:00,2023-12-03 00:00:00.000000 +00:00
60.00000000,0.00000000,EUR,0.00000000,-133.21000000,0.00000000,0.00000000,EUR,,,,2023-10-20,,90791,6232,2199,1238785,0,0,0,0,false,2024-10-25 17:50:03.003000 +00:00,2024-04-09 00:00:00.000000 +00:00
20.00000000,0.00000000,EUR,0.00000000,15.08000000,0.00000000,0.00000000,EUR,,,,2023-10-22,,90787,6232,2199,1245219,0,0,0,0,false,2024-10-25 17:49:48.400000 +00:00,2024-03-19 00:00:00.000000 +00:00
468.00000000,0.00000000,EUR,0.00000000,-1220.83000000,0.00000000,0.00000000,EUR,,,,2023-10-22,,90794,6232,2199,1245183,0,0,0,0,false,2024-10-25 17:50:18.536000 +00:00,2024-05-04 00:00:00.000000 +00:00
