deposit,stake,currency_condition,fixed_income,net_revenue,revenue_share,revenue_share_cpa,currency_fixed_income,cpa_at,cpa_simulated_at,cpa_affiliate_at,registered_at,first_deposit_at,id,fx_partner_id,account_report_id,is_cpa_betenlace,is_cpa_partner,is_first_deposit_count,max_revenue_share,max_revenue_share_cpa,max_revenue_share_at,max_revenue_share_cpa_at,created_at
10.00000000,0.00000000,EUR,0.00000000,0.00000000,0.00000000,0.00000000,EUR,,,,2023-12-05,,1313643,678,90723,false,false,false,0.00000000,0.00000000,,,2023-12-05
0.00000000,0.00000000,EUR,0.00000000,-7.25000000,0.00000000,0.00000000,EUR,,,,2023-12-05,,1313658,679,90723,false,false,false,0.00000000,0.00000000,,,2023-12-06
0.00000000,0.00000000,EUR,0.00000000,1.28000000,0.00000000,0.00000000,EUR,,,,2023-12-05,,1313667,680,90723,false,false,false,0.00000000,0.00000000,,,2023-12-07
10.00000000,0.00000000,EUR,0.00000000,1.55000000,0.00000000,0.00000000,EUR,,,,2023-12-07,,1313669,680,90727,false,false,false,0.00000000,0.00000000,,,2023-12-07
10.00000000,0.00000000,EUR,0.00000000,0.28000000,0.00000000,0.00000000,EUR,,,,2023-12-07,,1313670,680,90728,false,false,false,0.00000000,0.00000000,,,2023-12-07
0.00000000,0.00000000,EUR,0.00000000,4.26000000,0.00000000,0.00000000,EUR,,,,2023-12-05,,1313682,692,90723,false,false,false,0.00000000,0.00000000,,,2023-12-19
0.00000000,0.00000000,EUR,0.00000000,1.12000000,0.00000000,0.00000000,EUR,,,,2023-12-07,,1313683,692,90727,false,false,false,0.00000000,0.00000000,,,2023-12-19
0.00000000,0.00000000,EUR,0.00000000,-4.33000000,0.00000000,0.00000000,EUR,,,,2023-12-08,,1313684,692,90730,false,false,false,0.00000000,0.00000000,,,2023-12-19
0.00000000,0.00000000,EUR,0.00000000,1.27000000,0.00000000,0.00000000,EUR,,,,2023-12-15,,1313685,692,90731,false,false,false,0.00000000,0.00000000,,,2023-12-19
0.00000000,0.00000000,EUR,0.00000000,-1.25000000,0.00000000,0.00000000,EUR,,,,2023-12-17,,1313686,692,90732,false,false,false,0.00000000,0.00000000,,,2023-12-19
0.00000000,0.00000000,EUR,0.00000000,4.35000000,0.00000000,0.00000000,EUR,,,,2023-12-07,,1313699,693,90727,false,false,false,0.00000000,0.00000000,,,2023-12-20
100.00000000,0.00000000,EUR,0.00000000,75.99000000,0.00000000,0.00000000,EUR,,,,2023-12-09,,1313700,693,90733,false,false,false,0.00000000,0.00000000,,,2023-12-20
40.00000000,0.00000000,EUR,0.00000000,31.43000000,0.00000000,0.00000000,EUR,,,,2023-12-10,,1313701,693,90734,false,false,false,0.00000000,0.00000000,,,2023-12-20
10.00000000,0.00000000,EUR,0.00000000,-22.65000000,0.00000000,0.00000000,EUR,,,,2023-12-15,,1313702,693,90731,false,false,false,0.00000000,0.00000000,,,2023-12-20
10.00000000,0.00000000,EUR,0.00000000,1.52000000,0.00000000,0.00000000,EUR,,,,2023-12-20,,1313703,693,90735,false,false,false,0.00000000,0.00000000,,,2023-12-20
10.00000000,0.00000000,EUR,0.00000000,0.45000000,0.00000000,0.00000000,EUR,,,,2023-12-07,,1313712,694,90727,false,false,false,0.00000000,0.00000000,,,2023-12-21
50.00000000,0.00000000,EUR,0.00000000,39.23000000,0.00000000,0.00000000,EUR,,,,2023-12-08,,1313713,694,90730,false,false,false,0.00000000,0.00000000,,,2023-12-21
0.00000000,0.00000000,EUR,0.00000000,10.90000000,0.00000000,0.00000000,EUR,,,,2023-12-15,,1313714,694,90731,false,false,false,0.00000000,0.00000000,,,2023-12-21
10.00000000,0.00000000,EUR,0.00000000,-20.29000000,0.00000000,0.00000000,EUR,,,,2023-12-19,,1313715,694,90736,false,false,false,0.00000000,0.00000000,,,2023-12-21
0.00000000,0.00000000,EUR,0.00000000,2.47000000,0.00000000,0.00000000,EUR,,,,2023-12-20,,1313716,694,90735,false,false,false,0.00000000,0.00000000,,,2023-12-21
0.00000000,0.00000000,EUR,0.00000000,0.45000000,0.00000000,0.00000000,EUR,,,,2023-12-07,,1313727,695,90727,false,false,false,0.00000000,0.00000000,,,2023-12-22
0.00000000,0.00000000,EUR,0.00000000,3.33000000,0.00000000,0.00000000,EUR,,,,2023-12-15,,1313728,695,90731,false,false,false,0.00000000,0.00000000,,,2023-12-22
0.00000000,0.00000000,EUR,0.00000000,-3.50000000,0.00000000,0.00000000,EUR,,,,2023-12-17,,1313729,695,90732,false,false,false,0.00000000,0.00000000,,,2023-12-22
15.00000000,0.00000000,EUR,0.00000000,2.28000000,0.00000000,0.00000000,EUR,,,,2023-12-22,,1313730,695,90740,false,false,false,0.00000000,0.00000000,,,2023-12-22
10.00000000,0.00000000,EUR,0.00000000,4.61000000,0.00000000,0.00000000,EUR,,,,2023-12-22,,1313731,695,90741,false,false,false,0.00000000,0.00000000,,,2023-12-22
0.00000000,0.00000000,EUR,0.00000000,4.83000000,0.00000000,0.00000000,EUR,,,,2023-12-07,,1313747,696,90727,false,false,false,0.00000000,0.00000000,,,2023-12-23
0.00000000,0.00000000,EUR,0.00000000,-1.98000000,0.00000000,0.00000000,EUR,,,,2023-12-08,,1313748,696,90730,false,false,false,0.00000000,0.00000000,,,2023-12-23
0.00000000,0.00000000,EUR,0.00000000,-1.68000000,0.00000000,0.00000000,EUR,,,,2023-12-08,,1313749,696,90744,false,false,false,0.00000000,0.00000000,,,2023-12-23
0.00000000,0.00000000,EUR,0.00000000,20.56000000,0.00000000,0.00000000,EUR,,,,2023-12-09,,1313750,696,90745,false,false,false,0.00000000,0.00000000,,,2023-12-23
10.00000000,0.00000000,EUR,0.00000000,7.80000000,0.00000000,0.00000000,EUR,,,,2023-12-10,,1313751,696,90734,false,false,false,0.00000000,0.00000000,,,2023-12-23
0.00000000,0.00000000,EUR,0.00000000,0.07000000,0.00000000,0.00000000,EUR,,,,2023-12-10,,1313752,696,90746,false,false,false,0.00000000,0.00000000,,,2023-12-23
0.00000000,0.00000000,EUR,0.00000000,1.52000000,0.00000000,0.00000000,EUR,,,,2023-12-15,,1313753,696,90747,false,false,false,0.00000000,0.00000000,,,2023-12-23
0.00000000,0.00000000,EUR,0.00000000,6.01000000,0.00000000,0.00000000,EUR,,,,2023-12-15,,1313754,696,90731,false,false,false,0.00000000,0.00000000,,,2023-12-23
0.00000000,0.00000000,EUR,0.00000000,-8.40000000,0.00000000,0.00000000,EUR,,,,2023-12-17,,1313755,696,90732,false,false,false,0.00000000,0.00000000,,,2023-12-23
0.00000000,0.00000000,EUR,0.00000000,26.17000000,0.00000000,0.00000000,EUR,,,,2023-12-19,,1313756,696,90736,false,false,false,0.00000000,0.00000000,,,2023-12-23
0.00000000,0.00000000,EUR,0.00000000,1.60000000,0.00000000,0.00000000,EUR,,,,2023-12-20,,1313757,696,90735,false,false,false,0.00000000,0.00000000,,,2023-12-23
0.00000000,0.00000000,EUR,0.00000000,4.56000000,0.00000000,0.00000000,EUR,,,,2023-12-22,,1313758,696,90740,false,false,false,0.00000000,0.00000000,,,2023-12-23
0.00000000,0.00000000,EUR,0.00000000,2.28000000,0.00000000,0.00000000,EUR,,,,2023-12-22,,1313759,696,90741,false,false,false,0.00000000,0.00000000,,,2023-12-23
0.00000000,0.00000000,EUR,0.00000000,2.46000000,0.00000000,0.00000000,EUR,,,,2023-12-07,,1313768,697,90727,false,false,false,0.00000000,0.00000000,,,2023-12-24
10.00000000,0.00000000,EUR,0.00000000,6.26000000,0.00000000,0.00000000,EUR,,,,2023-12-10,,1313769,697,90749,false,false,false,0.00000000,0.00000000,,,2023-12-24
0.00000000,0.00000000,EUR,0.00000000,-0.48000000,0.00000000,0.00000000,EUR,,,,2023-12-15,,1313770,697,90747,false,false,false,0.00000000,0.00000000,,,2023-12-24
0.00000000,0.00000000,EUR,0.00000000,0.78000000,0.00000000,0.00000000,EUR,,,,2023-12-20,,1313771,697,90735,false,false,false,0.00000000,0.00000000,,,2023-12-24
