deposit,stake,currency_condition,fixed_income,net_revenue,revenue_share,revenue_share_cpa,currency_fixed_income,cpa_at,cpa_simulated_at,cpa_affiliate_at,registered_at,first_deposit_at,id,fx_partner_id,account_report_id,is_cpa_betenlace,is_cpa_partner,is_first_deposit_count,max_revenue_share,max_revenue_share_cpa,max_revenue_share_at,max_revenue_share_cpa_at,created_at
0.00000000,0.00000000,EUR,0.00000000,0.79000000,0.00000000,0.00000000,EUR,,,,2023-10-31,,1313631,677,90692,false,false,false,0.00000000,0.00000000,,,2023-12-04
0.00000000,0.00000000,EUR,0.00000000,7.57000000,0.00000000,0.00000000,EUR,,,,2023-11-03,,1313632,677,90713,false,false,false,0.00000000,0.00000000,,,2023-12-04
0.00000000,0.00000000,EUR,0.00000000,3.19000000,0.00000000,0.00000000,EUR,,,,2023-11-25,,1313633,677,90714,false,false,false,0.00000000,0.00000000,,,2023-12-04
10.00000000,0.00000000,EUR,0.00000000,0.10000000,0.00000000,0.00000000,EUR,,,,2023-12-03,,1313634,677,90721,false,false,false,0.00000000,0.00000000,,,2023-12-04
0.00000000,0.00000000,EUR,0.00000000,2.28000000,0.00000000,0.00000000,EUR,,,,2023-12-03,,1313635,677,90717,false,false,false,0.00000000,0.00000000,,,2023-12-04
0.00000000,0.00000000,EUR,0.00000000,-1.18000000,0.00000000,0.00000000,EUR,,,,2023-10-31,,1313640,678,90692,false,false,false,0.00000000,0.00000000,,,2023-12-05
0.00000000,0.00000000,EUR,0.00000000,-5.80000000,0.00000000,0.00000000,EUR,,,,2023-12-02,,1313641,678,90704,false,false,false,0.00000000,0.00000000,,,2023-12-05
0.00000000,0.00000000,EUR,0.00000000,0.28000000,0.00000000,0.00000000,EUR,,,,2023-12-03,,1313642,678,90721,false,false,false,0.00000000,0.00000000,,,2023-12-05
30.00000000,0.00000000,EUR,0.00000000,7.71000000,0.00000000,0.00000000,EUR,,,,2023-12-05,,1313644,678,90724,false,false,false,0.00000000,0.00000000,,,2023-12-05
0.00000000,0.00000000,EUR,0.00000000,0.76000000,0.00000000,0.00000000,EUR,,,,2023-10-24,,1313651,679,90725,false,false,false,0.00000000,0.00000000,,,2023-12-06
0.00000000,0.00000000,EUR,0.00000000,9.12000000,0.00000000,0.00000000,EUR,,,,2023-10-29,,1313653,679,90711,false,false,false,0.00000000,0.00000000,,,2023-12-06
0.00000000,0.00000000,EUR,0.00000000,-0.99000000,0.00000000,0.00000000,EUR,,,,2023-10-31,,1313654,679,90692,false,false,false,0.00000000,0.00000000,,,2023-12-06
0.00000000,0.00000000,EUR,0.00000000,38.00000000,0.00000000,0.00000000,EUR,,,,2023-11-27,,1313655,679,90693,false,false,false,0.00000000,0.00000000,,,2023-12-06
0.00000000,0.00000000,EUR,0.00000000,0.23000000,0.00000000,0.00000000,EUR,,,,2023-12-03,,1313656,679,90715,false,false,false,0.00000000,0.00000000,,,2023-12-06
0.00000000,0.00000000,EUR,0.00000000,-1.20000000,0.00000000,0.00000000,EUR,,,,2023-12-03,,1313657,679,90717,false,false,false,0.00000000,0.00000000,,,2023-12-06
0.00000000,0.00000000,EUR,0.00000000,19.04000000,0.00000000,0.00000000,EUR,,,,2023-12-05,,1313659,679,90724,false,false,false,0.00000000,0.00000000,,,2023-12-06
0.00000000,0.00000000,EUR,0.00000000,0.13000000,0.00000000,0.00000000,EUR,,,,2023-10-24,,1313662,680,90725,false,false,false,0.00000000,0.00000000,,,2023-12-07
0.00000000,0.00000000,EUR,0.00000000,3.04000000,0.00000000,0.00000000,EUR,,,,2023-10-31,,1313663,680,90692,false,false,false,0.00000000,0.00000000,,,2023-12-07
0.00000000,0.00000000,EUR,0.00000000,20.14000000,0.00000000,0.00000000,EUR,,,,2023-11-27,,1313664,680,90693,false,false,false,0.00000000,0.00000000,,,2023-12-07
0.00000000,0.00000000,EUR,0.00000000,0.64000000,0.00000000,0.00000000,EUR,,,,2023-12-03,,1313665,680,90721,false,false,false,0.00000000,0.00000000,,,2023-12-07
10.00000000,0.00000000,EUR,0.00000000,7.64000000,0.00000000,0.00000000,EUR,,,,2023-12-03,,1313666,680,90717,false,false,false,0.00000000,0.00000000,,,2023-12-07
0.00000000,0.00000000,EUR,0.00000000,-13.52000000,0.00000000,0.00000000,EUR,,,,2023-12-05,,1313668,680,90724,false,false,false,0.00000000,0.00000000,,,2023-12-07
0.00000000,0.00000000,EUR,0.00000000,3.90000000,0.00000000,0.00000000,EUR,,,,2023-10-25,,1313676,692,90709,false,false,false,0.00000000,0.00000000,,,2023-12-19
10.00000000,0.00000000,EUR,0.00000000,2.28000000,0.00000000,0.00000000,EUR,,,,2023-10-29,,1313677,692,90711,false,false,false,0.00000000,0.00000000,,,2023-12-19
0.00000000,0.00000000,EUR,0.00000000,-1.06000000,0.00000000,0.00000000,EUR,,,,2023-10-31,,1313678,692,90692,false,false,false,0.00000000,0.00000000,,,2023-12-19
0.00000000,0.00000000,EUR,0.00000000,-0.99000000,0.00000000,0.00000000,EUR,,,,2023-11-08,,1313679,692,90729,false,false,false,0.00000000,0.00000000,,,2023-12-19
0.00000000,0.00000000,EUR,0.00000000,-0.48000000,0.00000000,0.00000000,EUR,,,,2023-12-01,,1313680,692,90696,false,false,false,0.00000000,0.00000000,,,2023-12-19
10.00000000,0.00000000,EUR,0.00000000,6.08000000,0.00000000,0.00000000,EUR,,,,2023-12-03,,1313681,692,90717,false,false,false,0.00000000,0.00000000,,,2023-12-19
0.00000000,0.00000000,EUR,0.00000000,0.71000000,0.00000000,0.00000000,EUR,,,,2023-10-29,,1313692,693,90711,false,false,false,0.00000000,0.00000000,,,2023-12-20
0.00000000,0.00000000,EUR,0.00000000,3.80000000,0.00000000,0.00000000,EUR,,,,2023-10-31,,1313693,693,90712,false,false,false,0.00000000,0.00000000,,,2023-12-20
50.00000000,0.00000000,EUR,0.00000000,5.60000000,0.00000000,0.00000000,EUR,,,,2023-11-03,,1313694,693,90702,false,false,false,0.00000000,0.00000000,,,2023-12-20
10.00000000,0.00000000,EUR,0.00000000,35.35000000,0.00000000,0.00000000,EUR,,,,2023-11-08,,1313695,693,90729,false,false,false,0.00000000,0.00000000,,,2023-12-20
0.00000000,0.00000000,EUR,0.00000000,0.76000000,0.00000000,0.00000000,EUR,,,,2023-11-30,,1313696,693,90695,false,false,false,0.00000000,0.00000000,,,2023-12-20
0.00000000,0.00000000,EUR,0.00000000,1.52000000,0.00000000,0.00000000,EUR,,,,2023-12-03,,1313697,693,90717,false,false,false,0.00000000,0.00000000,,,2023-12-20
0.00000000,0.00000000,EUR,0.00000000,1.52000000,0.00000000,0.00000000,EUR,,,,2023-12-03,,1313698,693,90718,false,false,false,0.00000000,0.00000000,,,2023-12-20
0.00000000,0.00000000,EUR,0.00000000,4.56000000,0.00000000,0.00000000,EUR,,,,2023-10-29,,1313707,694,90711,false,false,false,0.00000000,0.00000000,,,2023-12-21
0.00000000,0.00000000,EUR,0.00000000,0.14000000,0.00000000,0.00000000,EUR,,,,2023-10-31,,1313708,694,90692,false,false,false,0.00000000,0.00000000,,,2023-12-21
0.00000000,0.00000000,EUR,0.00000000,-12.35000000,0.00000000,0.00000000,EUR,,,,2023-11-03,,1313709,694,90702,false,false,false,0.00000000,0.00000000,,,2023-12-21
0.00000000,0.00000000,EUR,0.00000000,-0.95000000,0.00000000,0.00000000,EUR,,,,2023-12-01,,1313710,694,90696,false,false,false,0.00000000,0.00000000,,,2023-12-21
0.00000000,0.00000000,EUR,0.00000000,1.52000000,0.00000000,0.00000000,EUR,,,,2023-12-03,,1313711,694,90718,false,false,false,0.00000000,0.00000000,,,2023-12-21
0.00000000,0.00000000,EUR,0.00000000,-0.72000000,0.00000000,0.00000000,EUR,,,,2023-10-25,,1313722,695,90737,false,false,false,0.00000000,0.00000000,,,2023-12-22
10.00000000,0.00000000,EUR,0.00000000,7.80000000,0.00000000,0.00000000,EUR,,,,2023-10-26,,1313723,695,90738,false,false,false,0.00000000,0.00000000,,,2023-12-22
0.00000000,0.00000000,EUR,0.00000000,-1.20000000,0.00000000,0.00000000,EUR,,,,2023-10-29,,1313724,695,90739,false,false,false,0.00000000,0.00000000,,,2023-12-22
0.00000000,0.00000000,EUR,0.00000000,-0.21000000,0.00000000,0.00000000,EUR,,,,2023-12-03,,1313725,695,90715,false,false,false,0.00000000,0.00000000,,,2023-12-22
0.00000000,0.00000000,EUR,0.00000000,-0.01000000,0.00000000,0.00000000,EUR,,,,2023-12-03,,1313726,695,90718,false,false,false,0.00000000,0.00000000,,,2023-12-22
